mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.5683565934499106,0.2515061779228459,0.08983556429545085,0.008491694490966555,,2,50,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.8127008612932254,0.8138338904602725,0.8201337104654153,0.8155561540729711,0.0032697049477335635,9
7.735604604085286,0.6399869602257083,0.18043828010559082,0.003323078212536418,,2,100,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.8215708960020568,0.8169195165852404,0.8230907688351762,0.8205270604741578,0.0026252978294614383,4
10.269797245661417,0.5483357577332214,0.2742908000946045,0.0798967841968119,,2,150,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.8254274328319835,0.8187194651581383,0.825790691694523,0.8233125298948817,0.0032511712768620725,1
3.82759157816569,0.2943947252600188,0.09942396481831868,0.011290918223965152,,5,50,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.8164288468954879,0.8158909745435845,0.8117768063769607,0.8146988759386776,0.0020778505816300076,11
7.596133391062419,1.1217906611086401,0.15778581301371256,0.019089974767156716,,5,100,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.8222136521403779,0.8206479814862433,0.8169195165852404,0.8199270500706205,0.002220626698114229,5
9.901541312535604,0.538620209465035,0.2154963811238607,0.012444719987014704,,5,150,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 150}",0.8246561254659982,0.8206479814862433,0.8187194651581383,0.82134119070346,0.002472702727362018,3
3.7499738534291587,0.1896075750365935,0.0788744290669759,0.012046065691187994,,10,50,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.8106440416505978,0.8094625867832348,0.8057341218822319,0.8086135834386882,0.0020924360670816168,17
6.598360141118367,0.9198141893295128,0.16283162434895834,0.033559878575260424,,10,100,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.8132150662038823,0.8137053227050656,0.8071483671895089,0.8113562520328189,0.0029821478836745408,15
9.715322653452555,0.9281118159305403,0.18406526247660318,0.004357730907722286,,10,150,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 150}",0.8173287054891374,0.8158909745435845,0.8126767806634096,0.8152988202320438,0.00194475125959811,10
2.861696402231852,0.29066957513719466,0.07791805267333984,0.03578274112537862,10,2,50,"{'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.749967862193084,0.7446644381589097,0.7399074312162509,0.7448465771894148,0.004109172571190021,22
5.838379700978597,1.0087014679240967,0.0961459477742513,0.007066288670254165,10,2,100,"{'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.7484252474611133,0.7467215222422217,0.7424787863203909,0.7458751853412419,0.002500308599220015,21
7.357221682866414,0.866722758175868,0.14011534055074057,0.011349243832590455,10,2,150,"{'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.7512533744697262,0.7483929030599126,0.7459501157109797,0.7485321310802061,0.0021672835065709153,19
2.4513652324676514,0.166902908518773,0.05219038327534994,0.004731876412443193,10,5,50,"{'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.7392981102969534,0.7442787348932888,0.7410645410131139,0.741547128734452,0.0020617668028489627,26
5.137804428736369,0.23894238926023764,0.09671227137247722,0.008423757430452147,10,5,100,"{'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.7440545057205297,0.7473643610182567,0.7426073540755979,0.7446754069381281,0.0019910495564964994,23
7.270954529444377,0.7355898270909363,0.15451272328694662,0.002044877911050822,10,5,150,"{'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 150}",0.7491965548270986,0.7489071740807406,0.7468500899974286,0.7483179396350893,0.0010446282347246823,20
2.603668530782064,0.05019758377242805,0.0628186861673991,0.02242255690080792,10,10,50,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.7410978274842525,0.7397788634610439,0.739136024685009,0.7400042385434351,0.0008166039438234226,27
4.946507453918457,0.49999012702016077,0.09699622790018718,0.010671896717624278,10,10,100,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.7468826327291426,0.7424787863203909,0.740164566726665,0.743175328592066,0.002786512881193294,25
7.361723343531291,0.12894336591244215,0.14380661646525064,0.019031916834698,10,10,150,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 150}",0.7472682864121353,0.7445358704037027,0.7410645410131139,0.7442895659429839,0.0025386497276435652,24
3.41959547996521,0.1558773320016533,0.0779261589050293,0.007163549530690057,20,2,50,"{'rf__max_depth': 20, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.813086514976218,0.8115196708665466,0.8149910002571356,0.8131990620333002,0.001419397070246139,12
6.85709285736084,0.6123430487992142,0.16057578722635904,0.015736771716864,20,2,100,"{'rf__max_depth': 20, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.8188713202211081,0.8201337104654153,0.8173052198508614,0.8187700835124616,0.0011569432260740927,6
