mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.014843463897705078,0.000871676867216185,0.9714822769165039,0.13042118433836164,euclidean,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'uniform'}",0.7745211466769507,0.782206222679352,0.7802777063512472,0.7790016919025167,0.0032645834798840667,33
0.014742851257324219,0.0024300968029560294,0.5560309886932373,0.040040002205281304,euclidean,1,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'distance'}",0.7745211466769507,0.782206222679352,0.7802777063512472,0.7790016919025167,0.0032645834798840667,33
0.013609011967976889,0.005179947937553535,0.8194933732350668,0.06283924896132069,euclidean,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 2, 'knn__weights': 'uniform'}",0.7614089214551999,0.7670352275649267,0.7582926202108511,0.7622455897436593,0.0036178544475576834,39
0.011586586634318033,0.001480124306033958,0.5950283209482828,0.03605087778239116,euclidean,2,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 2, 'knn__weights': 'distance'}",0.7745211466769507,0.782206222679352,0.7802777063512472,0.7790016919025167,0.0032645834798840667,33
0.012763102849324545,0.001094174637869956,0.8733572165171305,0.05015936074535577,euclidean,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.7853194498007456,0.7941630239136025,0.7863203908459758,0.7886009548534414,0.003954148025934983,30
0.010929266611735025,0.0007684150131135617,0.5754210948944092,0.043283153224240534,euclidean,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.7959892016968763,0.8004628439187452,0.7993057341218822,0.7985859265791678,0.0018959537364667762,19
0.01457961400349935,0.0012439216855156371,0.8867975076039633,0.06605213050734737,euclidean,4,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 4, 'knn__weights': 'uniform'}",0.7908471525903072,0.7923630753407046,0.7932630496271535,0.7921577591860552,0.0009969137928897435,22
0.012701034545898438,0.002461415697770825,0.5662602583567301,0.02627336617310102,euclidean,4,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 4, 'knn__weights': 'distance'}",0.8016454557141021,0.8068912316790949,0.804319876574955,0.8042855213227172,0.0021417168473355603,7
0.014995257059733072,0.0021871464623688898,0.875187873840332,0.07208951584942593,euclidean,5,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.79701761151819,0.7995628696322962,0.7976343533041913,0.7980716114848924,0.001084121996301911,20
0.014503081639607748,0.0026188845142456132,0.5656090577443441,0.017230678497153692,euclidean,5,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.8038308265843939,0.8076626382103369,0.8077912059655439,0.8064282235867583,0.0018373868777584153,6
0.019276857376098633,0.005560791039334138,0.8501619497934977,0.06972393503094755,euclidean,6,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 6, 'knn__weights': 'uniform'}",0.7983031237948323,0.7969915145281563,0.8016199537156081,0.7989715306795322,0.0019477659254678846,17
0.01341716448465983,0.0011378805102885436,0.5926815668741862,0.06054171749030387,euclidean,6,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 6, 'knn__weights': 'distance'}",0.8048592364057077,0.8067626639238878,0.8101054255592698,0.8072424419629551,0.002168450350490971,5
0.017650683720906574,0.005610911496875437,0.9042079448699951,0.0985661282723858,euclidean,7,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.7977889188841754,0.7976343533041913,0.8009771149395731,0.7988001290426466,0.0015406542606290622,18
0.012175639470418295,0.000546586932266387,0.5852208137512207,0.049685797658696323,euclidean,7,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.8094870806016198,0.8085626124967858,0.8103625610696837,0.8094707513893632,0.0007349166386509341,3
0.012079159418741861,0.0018495740578239744,0.8721339702606201,0.07246821699957276,euclidean,8,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 8, 'knn__weights': 'uniform'}",0.7981745725671681,0.7994343018770892,0.8018770892260221,0.7998286545567597,0.001537051924788794,15
0.013583024342854818,0.0020060068706100687,0.6437892119089762,0.04291382869160731,euclidean,8,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 8, 'knn__weights': 'distance'}",0.8088443244632986,0.8080483414759578,0.8110053998457187,0.8092993552616584,0.001249356720112454,4
0.014339447021484375,0.0011917672825211513,0.8679352601369222,0.07877511428681247,euclidean,9,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.7993315336161461,0.7995628696322962,0.802648495757264,0.8005142996685688,0.001512056832451247,11
0.011054436365763346,0.0014394033607796728,0.5935686429341634,0.033085454852979986,euclidean,9,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.8091014269186271,0.8099768578040627,0.8103625610696837,0.8098136152641245,0.000527636827040758,2
0.015612284342447916,0.0012598843602492152,0.9296062787373861,0.024865640665356747,euclidean,10,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 10, 'knn__weights': 'uniform'}",0.7988173287054892,0.8008485471843662,0.8031627667780921,0.8009428808893158,0.0017752712744111066,9
