mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.591482480367024,0.5929692849258035,0.2167967160542806,0.011587925775162248,0.8,0.01,3,100,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 100, 'xgb__subsample': 0.8}",0.6647383982517033,0.673695037284649,0.673823605039856,0.6707523468587361,0.004252827749701245,69
5.395678838094075,0.7391011804679937,0.2334578037261963,0.02653200986851768,0.8,0.01,3,100,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.6594677979174701,0.6697094368732321,0.6675237850347133,0.6655670066084719,0.004404129008260207,70
11.250019073486328,1.4785733436159358,0.5693905353546143,0.15416771935375442,0.8,0.01,3,200,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__subsample': 0.8}",0.6963620002571025,0.7005656981229108,0.7013371046541528,0.6994216010113886,0.002186265398776678,65
10.414400418599447,1.0863596722263522,0.4600607554117839,0.06652337892282958,0.8,0.01,3,200,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.6916056048335262,0.696451529956287,0.6934944715865261,0.6938505354587798,0.0019942974844448093,66
9.256390651067099,0.17102408973183353,0.552275021870931,0.05611146747274607,0.8,0.01,5,100,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__subsample': 0.8}",0.7552384625273172,0.7555926973515042,0.7498071483671895,0.7535461027486704,0.0026477922221809004,61
8.630247354507446,1.244122357349805,0.5346999963124593,0.0714112761750942,0.8,0.01,5,100,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7527959892016969,0.7485214708151195,0.7410645410131139,0.7474606670099768,0.004847727830995028,62
18.544002930323284,0.8241983603084038,1.03215495745341,0.1693392688739294,0.8,0.01,5,200,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__subsample': 0.8}",0.7725928782619874,0.7681923373617897,0.7651067112368218,0.7686306422868663,0.003071889493203266,56
17.396531979242962,2.8814656878028906,1.200903018315633,0.2058977948833396,0.8,0.01,5,200,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.7670651754724258,0.7658781177680638,0.761892517356647,0.7649452701990455,0.002212351906298004,57
13.959837357203165,0.873302733497189,0.8821570078531901,0.16651532425623797,0.8,0.01,7,100,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 100, 'xgb__subsample': 0.8}",0.7898187427689934,0.7811776806376961,0.7819490871689381,0.7843151701918759,0.003904335226626174,52
16.63071044286092,0.8716232055398969,1.0766889254252117,0.1399900289566225,0.8,0.01,7,100,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7884046792646869,0.7793777320647981,0.7792491643095911,0.7823438585463588,0.004285968832652826,53
29.285215377807617,2.3062518738400177,1.8881611029307048,0.2195922758867689,0.8,0.01,7,200,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 200, 'xgb__subsample': 0.8}",0.8022882118524232,0.7940344561583955,0.7967343790177424,0.7976856823428538,0.003436068904668951,45
31.373899539311726,1.7945512873657385,1.875624656677246,0.050366628296959905,0.8,0.01,7,200,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.7997171872991387,0.7922345075854975,0.7940344561583955,0.7953287170143439,0.0031889347538704652,46
6.910423835118611,0.41138407159638923,0.2995153268178304,0.06402704923342083,0.8,0.1,3,100,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100, 'xgb__subsample': 0.8}",0.7983031237948323,0.7930059141167395,0.7912059655438416,0.7941716678184711,0.0030123800202638182,47
6.402807871500651,0.6489545691435875,0.2844398816426595,0.040604813742737327,0.8,0.1,3,100,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7945751381925698,0.7855489843147339,0.7842633067626639,0.7881291430899892,0.004588128255897235,51
