mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__alpha,param_mlp__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
33.61502766609192,5.348063645406146,0.010032415390014648,0.000152388208585772,0.0001,"(50,)","{'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,)}",0.8845609975575267,0.8805605554127025,0.8859604011313963,0.883693984700542,0.002288138532673332,3
33.551193396250405,1.801829788729617,0.014770030975341797,0.001280057975676815,0.0001,"(100,)","{'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,)}",0.8837896901915413,0.8791463101054255,0.8854461301105683,0.8827940434691784,0.002666510493899367,5
37.73661136627197,2.510138135944652,0.015756607055664062,0.002605035651794966,0.0001,"(50, 50)","{'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50)}",0.8664352744568711,0.8783749035741836,0.8779892003085626,0.874266459446539,0.005539722346175784,9
49.097161054611206,2.9505858062286725,0.020538489023844402,0.006447381740909586,0.0001,"(100, 50)","{'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50)}",0.864635557269572,0.867318076626382,0.8718179480586269,0.867923860651527,0.0029633219057352746,12
31.491631189982098,8.74275685741705,0.012499411900838217,0.0026849640319482,0.001,"(50,)","{'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,)}",0.8782619874019797,0.8813319619439445,0.8836461815376704,0.8810800436278649,0.002205294198239591,6
36.998684883117676,11.144457223191926,0.014100233713785807,0.001274493349063177,0.001,"(100,)","{'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100,)}",0.8825041779148991,0.8810748264335305,0.8890460272563641,0.8842083438682646,0.003470172602522148,2
40.56195584932963,0.7595547650902726,0.014831225077311197,0.0003831874565370711,0.001,"(50, 50)","{'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50)}",0.8702918112867978,0.8732321933659039,0.8763178194908717,0.8732806080478578,0.002460345735184816,10
53.52854530016581,9.859581828049093,0.023941914240519207,0.007425693492325737,0.001,"(100, 50)","{'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100, 50)}",0.8727342846124181,0.8728464901002828,0.8740035998971458,0.8731947915366156,0.0005737454377012283,11
29.89950927098592,7.4968026407051545,0.014105637868245443,0.004311146702179599,0.01,"(50,)","{'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,)}",0.8803188070446073,0.8821033684751864,0.8880174852147081,0.8834798869115006,0.003290239469079358,4
32.02242732048035,3.9094430718046684,0.013289451599121094,0.0005326363193622337,0.01,"(100,)","{'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,)}",0.8872605733384754,0.8833890460272563,0.891874517870918,0.88750804574555,0.0034685962623316026,1
35.05631963411967,6.286216469001112,0.011550188064575195,0.00022485210564067199,0.01,"(50, 50)","{'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50)}",0.8777477824913228,0.8740035998971458,0.8827462072512214,0.87816586321323,0.003581376779434329,7
33.570848862330116,2.4892400714184344,0.013086080551147461,0.004535094660134054,0.01,"(100, 50)","{'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100, 50)}",0.8735055919784034,0.8769606582669066,0.8806891231679095,0.8770517911377399,0.0029333722331998094,8
